thing_id,stationID,stationName,city,township,areaType,areaDescription,isOutdoor,isMobile,projectName,latitude,longitude,coordinate_crs,pm25_datastream_id,latest_pm25_value,latest_observation_phenomenon_time,freshness_status,observation_age_minutes,valid_coordinate,valid_pm25,future_timestamp,bbox_status
3284,650000000024,智慧城鄉空品微型感測器-650000000024,新北市,板橋區,,,,,,25.031307,121.47327,EPSG:4326,9850,5.74,2026-09-02T10:58:22Z,fresh,4.31,True,True,False,inside_bbox
3285,650000000025,智慧城鄉空品微型感測器-650000000025,新北市,板橋區,,,,,,25.028683,121.46846,EPSG:4326,9853,5.9,2026-09-02T10:57:04Z,fresh,5.61,True,True,False,inside_bbox
3286,650000000026,智慧城鄉空品微型感測器-650000000026,新北市,板橋區,,,,,,25.02498,121.4744,EPSG:4326,9856,5.8,2026-09-02T10:58:22Z,fresh,4.31,True,True,False,inside_bbox
3287,650000000027,智慧城鄉空品微型感測器-650000000027,新北市,板橋區,,,,,,25.01142,121.44746,EPSG:4326,9859,5.74,2026-09-02T10:57:48Z,fresh,4.88,True,True,False,inside_bbox
3289,650000000029,智慧城鄉空品微型感測器-650000000029,新北市,泰山區,,,,,,25.063501,121.43969,EPSG:4326,9865,6.23,2026-09-02T10:57:59Z,fresh,4.7,True,True,False,inside_bbox
3299,650000000039,智慧城鄉空品微型感測器-650000000039,新北市,新莊區,,,,,,25.059793,121.46065,EPSG:4326,9895,5.75,2026-09-02T10:58:36Z,fresh,4.08,True,True,False,inside_bbox
3300,650000000040,智慧城鄉空品微型感測器-650000000040,新北市,新莊區,,,,,,25.05213,121.463715,EPSG:4326,9898,5.72,2026-09-02T10:57:41Z,fresh,5.0,True,True,False,inside_bbox
3301,650000000041,智慧城鄉空品微型感測器-650000000041,新北市,新莊區,,,,,,25.04957,121.458244,EPSG:4326,9901,5.74,2026-09-02T10:58:35Z,fresh,4.1,True,True,False,inside_bbox
3302,650000000042,智慧城鄉空品微型感測器-650000000042,新北市,新莊區,,,,,,25.05451,121.45897,EPSG:4326,9904,5.67,2026-09-02T10:56:55Z,fresh,5.76,True,True,False,inside_bbox
3303,650000000043,智慧城鄉空品微型感測器-650000000043,新北市,新莊區,,,,,,25.056044,121.44785,EPSG:4326,9907,5.8,2026-09-02T10:58:15Z,fresh,4.43,True,True,False,inside_bbox
